dataset,modelo,tipo_feature,config,mae,mape,mse,rmse
sunspot_dataset_without_missing_values,random_forest,intervalo,w=7,4.557822731350742,5.486633149211572,58.106476705063216,7.622760438651028
sunspot_dataset_without_missing_values,linear_regression,intervalo,w=14,7.8203877566943145,23.491919753211477,112.57606854341255,10.610187017362726
sunspot_dataset_without_missing_values,knn,intervalo,w=14,10.873333333333331,509.99999999999994,126.88400000000001,11.264279826069664
sunspot_dataset_without_missing_values,xgboost,intervalo,w=14,5.670426440238953,2.056729793548584,52.29877775588391,7.231789388241607
sunspot_dataset_without_missing_values,random_forest,intervalo,w=14,5.92279225105045,19.968395856876732,67.1329566672368,8.19347036775241
sunspot_dataset_without_missing_values,linear_regression,intervalo,w=30,7.155344427854357,57.93672517828712,53.08949872103724,7.286254093911166
sunspot_dataset_without_missing_values,knn,intervalo,w=30,20.040000000000003,100.0,445.1946666666667,21.09963664774033
sunspot_dataset_without_missing_values,xgboost,intervalo,w=30,8.04225105047226,21.742933988571167,68.3534034677166,8.26761171486159
sunspot_dataset_without_missing_values,random_forest,intervalo,w=30,16.799719598683463,89.18101343101344,313.80192337690886,17.714455209712458
us_births_dataset,linear_regression,lags,n=7,479.92870317837003,4.712855375377543,508998.0233040574,713.4409739453274
us_births_dataset,knn,lags,n=7,488.48000000000013,4.871878046720555,497848.4320000001,705.583752647409
us_births_dataset,xgboost,lags,n=7,419.7212727864583,4.071094941403368,420313.73104296526,648.3160734109291
us_births_dataset,random_forest,lags,n=7,349.2486666666668,3.413193903143661,276458.67621333344,525.7933778713207
us_births_dataset,linear_regression,lags,n=14,440.9233652771153,4.296356600236366,390457.3841779316,624.8658929545855
us_births_dataset,knn,lags,n=14,426.57333333333344,4.266704128669347,416208.5413333334,645.1422644140852
us_births_dataset,xgboost,lags,n=14,367.5205403645833,3.6217730851485856,341652.77899916965,584.5107176084709
us_births_dataset,random_forest,lags,n=14,354.6946666666665,3.5452621126856663,305798.8361199998,552.9908101587221
us_births_dataset,knn,lags,n=30,366.56666666666655,3.664947987912827,360181.60933333304,600.1513220291471
us_births_dataset,linear_regression,lags,n=30,360.6365090615707,3.5394527255511945,320908.33472023695,566.4877180665411
us_births_dataset,xgboost,lags,n=30,335.42991536458334,3.3329326114507936,278480.1620266914,527.7121962080197
us_births_dataset,random_forest,lags,n=30,347.5176666666667,3.4819841174787878,311235.1111299999,557.8844962265935
us_births_dataset,linear_regression,intervalo,w=7,1294.2004352011782,13.17122537625162,2053421.6732901954,1432.9765082827407
us_births_dataset,knn,intervalo,w=7,1184.6333333333334,11.381437102775202,1936938.4386666666,1391.7393573031793
us_births_dataset,xgboost,intervalo,w=7,1267.22841796875,12.528987003809593,2104498.6155905086,1450.6890140862406
us_births_dataset,random_forest,intervalo,w=7,1273.2389999999998,12.61666482976266,2247541.3364766664,1499.1802214799482
us_births_dataset,linear_regression,intervalo,w=14,1263.374840936246,12.900944373945972,1929713.7110481625,1389.1413574752437
us_births_dataset,knn,intervalo,w=14,1331.5933333333335,13.363312777175244,2343311.9133333336,1530.7880040467176
us_births_dataset,xgboost,intervalo,w=14,1361.8613606770834,13.726200952619614,2242534.965015634,1497.5095876206049
